Coefficient	-1	-1	1	1						
RXN_ID	ALDDNADP	None	None	None	None	None	None	None		
Metabolite	CHEBI:17120	CHEBI:57783	CHEBI:15378	CHEBI:30616	CHEBI:88528	CHEBI:58349	CHEBI:33019	CHEBI:456215		
Coefficient	-1	-1	-1	-1	1	1	1	1		
RXN_ID	ADCN	None	None	None	None	None	None	None		
Metabolite	CHEBI:88528	CHEBI:57783	CHEBI:15378	CHEBI:15379	CHEBI:37830	CHEBI:15740	CHEBI:58349	CHEBI:15377		
Coefficient	-1	-2	-1	-1	1	1	2	1		
RXN_ID	59569	None	None	None	None	None	None			
Metabolite	CHEBI:59888	CHEBI:30616	CHEBI:57595	CHEBI:456216	CHEBI:15378	CHEBI:143075	CHEBI:43474			
Coefficient	-1	-1	-1	1	1	1	1			
RXN_ID	10189	None	None	None	None	None				
Metabolite	CHEBI:57286	CHEBI:57288	CHEBI:15377	CHEBI:43074	CHEBI:57287	CHEBI:15378				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	15991	None	None	None	None	None				
Metabolite	CHEBI:43074	CHEBI:15378	CHEBI:57783	CHEBI:36464	CHEBI:57287	CHEBI:58349				
Coefficient	-1	-2	-2	1	1	2				
RXN_ID	17066	None	None	None	None					
Metabolite	CHEBI:36464	CHEBI:30616	CHEBI:58146	CHEBI:456216	CHEBI:15378					
Coefficient	-1	-1	1	1	1					
RXN_ID	16342	None	None	None						
Metabolite	CHEBI:58146	CHEBI:30616	CHEBI:57557	CHEBI:456216						
Coefficient	-1	-1	1	1						
RXN_ID	23733	None	None	None	None	None				
Metabolite	CHEBI:57557	CHEBI:30616	CHEBI:456216	CHEBI:16526	CHEBI:128769	CHEBI:43474				
Coefficient	-1	-1	1	1	1	1				
RXN_ID	23284	None								
Metabolite	CHEBI:128769	CHEBI:57623								
Coefficient	-1	1								
RXN_ID	13370	None	None							
Metabolite	CHEBI:57623	CHEBI:33019	CHEBI:35194							
Coefficient	-1	1	1							
RXN_ID	19501	None	None	None						
Metabolite	CHEBI:57486	CHEBI:15377	CHEBI:59888	CHEBI:16199						
Coefficient	-1	-1	1	1						
RXN_ID	ACT	None	None	None						
Metabolite	CHEBI:59888	CHEBI:57288	CHEBI:57352	CHEBI:30089						
Coefficient	-1	-1	1	1						
RXN_ID	NUDF1	None	None	None	None					
