CHEBI_ID	Metabolite_name	Starting metabolite	Path																		
CHEBI:58725	2-ammonio-2-deoxy-D-glucopyranose 6-phosphate(1-)	2-oxoglutarate(2-)	11614	16170	13237																
CHEBI:32682	L-argininium(1+)	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020													
CHEBI:58074	D-nopalinate(1-)	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	19639												
CHEBI:58489	5-guanidino-2-oxopentanoic acid zwitterion	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	13833												
CHEBI:57520	D-octopine dizwitterion	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	16287												
CHEBI:58145	agmatinium(2+)	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	17642												
CHEBI:58644	p-coumaroylagmatine(1+)	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	17642	13406	13870	15096	24907	4CMCOAS							
CHEBI:58318	N-carbamoylputrescinium(1+)	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	17642	18037											
CHEBI:326268	1,4-butanediammonium	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	17642	18037	22285										
CHEBI:58274	L-gamma-glutamyl phosphate(2-)	2-oxoglutarate(2-)	11614	14878																	
CHEBI:58066	L-glutamic 5-semialdehyde zwitterion	2-oxoglutarate(2-)	11614	14878	19543																
CHEBI:15893	1-pyrroline-5-carboxylate	2-oxoglutarate(2-)	11614	14878	19543	G5SADs															
CHEBI:60039	L-proline zwitterion	2-oxoglutarate(2-)	11614	14878	19543	G5SADs	14111														
CHEBI:39785	1-pyrroline-2-carboxylic acid zwitterion	2-oxoglutarate(2-)	11614	14878	19543	G5SADs	14111	20317													
CHEBI:58394	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate	D-erythrose 4-phosphate(2-)	14717																		
CHEBI:16630	3-dehydroshikimate	D-erythrose 4-phosphate(2-)	14717	21969	21096																
CHEBI:36241	3,4-dihydroxybenzoate	D-erythrose 4-phosphate(2-)	14717	21969	21096	24849															
CHEBI:36208	shikimate	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739															
CHEBI:29748	chorismate(2-)	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021												
CHEBI:29934	(1s,4s)-prephenate(2-)	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	13897											
CHEBI:17879	4-hydroxybenzoate	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	16506											
CHEBI:16567	anthranilate	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	21733											
CHEBI:17296	aniline	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	21733	24730										
CHEBI:57356	4-hydroxybenzoyl-CoA(4-)	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	16506	23117										
CHEBI:143072	4-amino-L-phenylalanine zwitterion	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	59379	59381	59384								
CHEBI:4APAADH	2-(4-aminophenyl)acetaldehyde	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	59379	59381	PDC4APADH								
CHEBI:4APAA	2-(4-aminophenyl)acetic acid	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	59379	59381	PDC4APADH	ADHDH4APAA							
